Unnamed: 0,ACCOAC,MDH,PTAr,CS,ACACT1r,PPC,PPCK,PFL,Isoprenol [mM] Pred,Isoprenol [mM]
23,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.6808312655766499,0.7108792131836225
24,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.6845953654014658,0.7092798498068289
25,1.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,0.6832115608199841,0.718888868407574
26,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.6810182456471494,0.6547932788881432
27,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.6855888295433694,0.7279375220486135
28,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.683486397173599,0.6559501623825089
29,2.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.6849368377745171,0.6540998980251679
30,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.6801775560336004,0.7166301010803471
31,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,0.6843262194448706,0.735453817298248
32,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.6803420518037557,0.6377403321015643
33,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.22045455828716626,0.2904983358117199
34,2.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,0.6857113936293772,0.7338436302644307
35,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.6868806672601511,0.6146214479165697
36,2.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.6856801815094453,0.6377937228637818
37,1.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.6863277030133593,0.6404911613115895
38,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.6847882066423395,0.7099632624884311
39,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.6903147909080564,0.7243049948738917
40,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.6843142180626549,0.7153127433388442
41,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.2229972755419555,0.30596479042018765
42,2.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,0.6845940360035403,0.7181590551774968
43,2.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,0.6859123312756474,0.7305964438517764
44,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,0.6847824941613212,0.7153127433388442
45,2.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.680660170128185,0.6990877673020433
46,2.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.6871140159254077,0.7396577174432005
47,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.6905562654498483,0.7243049948738917
48,1.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,0.6853738501908272,0.6228247861671774
49,2.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.6866746710893307,0.6400097711025785
50,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,0.6868171872830864,0.7539511842651312
51,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.6868385944213614,0.7427197772309354
52,2.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.6849105347697269,0.649316336907906
53,2.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,0.6865817852207524,0.6217183804545152
54,2.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,0.6868136596092058,0.7508339609075791
55,2.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.6813685354784883,0.6990877673020433
56,2.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.6915254362849904,0.6283795576480118
57,2.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.6875938596056743,0.6282609063699436
58,2.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,0.6874817273576771,0.6282609063699436
59,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,0.6848870091084859,0.718888868407574
60,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.6910510184355053,0.7207987105864377
61,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.6815283229207644,0.6554195791251991
62,1.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.6872468498948349,0.6286980036492019
63,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.6808289657841712,0.657274679276484
